Hourly Time,Hourly Sum
2015년 10월 8일   00시,587243.418
2015년 10월 8일   01시,562686.9336
2015년 10월 8일   02시,550890.2422
2015년 10월 8일   03시,545710.8398
2015년 10월 8일   04시,548435.3164
2015년 10월 8일   05시,564157.332
2015년 10월 8일   06시,590370.2773
2015년 10월 8일   07시,625086.7227
2015년 10월 8일   08시,671507.668
2015년 10월 8일   09시,691205.0352
2015년 10월 8일   10시,694287.2422
2015년 10월 8일   11시,689583.0313
2015년 10월 8일   12시,646778.2148
2015년 10월 8일   13시,680171.0391
2015년 10월 8일   14시,698149.6719
2015년 10월 8일   15시,694382.2109
2015년 10월 8일   16시,703206.7539
2015년 10월 8일   17시,696293.4414
2015년 10월 8일   18시,707010.3008
2015년 10월 8일   19시,699586.8594
2015년 10월 8일   20시,677911.5195
2015년 10월 8일   21시,657392.1445
2015년 10월 8일   22시,639287.5742
2015년 10월 8일   23시,630655.3789
2015년 10월 9일   00시,588503.375
2015년 10월 9일   01시,562320.3125
2015년 10월 9일   02시,547755.9531
2015년 10월 9일   03시,540030.3594
2015년 10월 9일   04시,542928.5312
2015년 10월 9일   05시,553425.2734
2015년 10월 9일   06시,565901.0273
2015년 10월 9일   07시,580470.3203
2015년 10월 9일   08시,606717.6836
2015년 10월 9일   09시,622882.2578
2015년 10월 9일   10시,623357.9805
2015년 10월 9일   11시,619408.043
2015년 10월 9일   12시,586685.0625
2015년 10월 9일   13시,607786.0039
2015년 10월 9일   14시,617837.5469
2015년 10월 9일   15시,619430.0508
2015년 10월 9일   16시,624689.9023
2015년 10월 9일   17시,622182.7187
2015년 10월 9일   18시,641956.832
2015년 10월 9일   19시,644908.4961
2015년 10월 9일   20시,638976.8672
2015년 10월 9일   21시,628674.1094
2015년 10월 9일   22시,619214.8672
2015년 10월 9일   23시,602201.6641
2015년 10월 10일   00시,562475.9844
2015년 10월 10일   01시,537333.1367
2015년 10월 10일   02시,523974.082
2015년 10월 10일   03시,516043.9063
2015년 10월 10일   04시,520377.3945
2015년 10월 10일   05시,533478.1523
2015년 10월 10일   06시,544276.7383
2015년 10월 10일   07시,554154.3867
2015년 10월 10일   08시,572223.7812
2015년 10월 10일   09시,577447.582
2015년 10월 10일   10시,584482.2812
2015년 10월 10일   11시,587123.1563
2015년 10월 10일   12시,565531.0313
2015년 10월 10일   13시,578964.0469
2015년 10월 10일   14시,583046.9922
2015년 10월 10일   15시,581747.9375
2015년 10월 10일   16시,582569.6719
2015년 10월 10일   17시,583526.6289
2015년 10월 10일   18시,600261.332
2015년 10월 10일   19시,601004.5156
2015년 10월 10일   20시,594955.6875
2015년 10월 10일   21시,586676.6484
2015년 10월 10일   22시,580469.3516
2015년 10월 10일   23시,575700.0977
2015년 10월 11일   00시,539413.1016
2015년 10월 11일   01시,513864.4687
2015년 10월 11일   02시,498092.4688
2015년 10월 11일   03시,491039.0898
2015년 10월 11일   04시,492764.0508
2015년 10월 11일   05시,505759.1328
2015년 10월 11일   06시,512916.1289
2015년 10월 11일   07시,511385.6523
2015년 10월 11일   08시,512663.7461
2015년 10월 11일   09시,515759.2734
2015년 10월 11일   10시,524447.7813
2015년 10월 11일   11시,526139.6602
2015년 10월 11일   12시,519491.625
2015년 10월 11일   13시,525689.375
2015년 10월 11일   14시,527723.8203
2015년 10월 11일   15시,529435.4609
2015년 10월 11일   16시,537534.3281
2015년 10월 11일   17시,550134.3398
2015년 10월 11일   18시,577715.3359
2015년 10월 11일   19시,583047.8594
2015년 10월 11일   20시,579162.8047
2015년 10월 11일   21시,574251.0156
2015년 10월 11일   22시,572477.4727
2015년 10월 11일   23시,558588.1016
2015년 10월 12일   00시,520529.5898
2015년 10월 12일   01시,497549.5312
2015년 10월 12일   02시,485015.6328
2015년 10월 12일   03시,482387.0586
2015년 10월 12일   04시,490103.8711
2015년 10월 12일   05시,512669.4766
2015년 10월 12일   06시,545152.4102
2015년 10월 12일   07시,590146.9766
2015년 10월 12일   08시,643100.8789
2015년 10월 12일   09시,664714.1016
2015년 10월 12일   10시,666888.1367
2015년 10월 12일   11시,664284.1836
2015년 10월 12일   12시,619708.3477
2015년 10월 12일   13시,651324.4102
2015년 10월 12일   14시,668373.0898
2015년 10월 12일   15시,672370.8984
2015년 10월 12일   16시,683410.2813
2015년 10월 12일   17시,685187.4258
2015년 10월 12일   18시,702423.4141
2015년 10월 12일   19시,699199.8828
2015년 10월 12일   20시,679357.5469
2015년 10월 12일   21시,658071.3242
2015년 10월 12일   22시,646329.1758
2015년 10월 12일   23시,639257.4453
2015년 10월 13일   00시,593450.0117
2015년 10월 13일   01시,567999.8828
2015년 10월 13일   02시,554097.4453
2015년 10월 13일   03시,550476.8984
2015년 10월 13일   04시,553804.7695
2015년 10월 13일   05시,572076.6758
2015년 10월 13일   06시,600588.8398
2015년 10월 13일   07시,632182.6016
2015년 10월 13일   08시,667249.3945
2015년 10월 13일   09시,676300.3242
2015년 10월 13일   10시,673181.957
2015년 10월 13일   11시,666713.7344
2015년 10월 13일   12시,621108.1523
2015년 10월 13일   13시,653910.3164
2015년 10월 13일   14시,672290.1055
2015년 10월 13일   15시,662781.8477
2015년 10월 13일   16시,680062.4648
2015년 10월 13일   17시,688127.5781
2015년 10월 13일   18시,709010.0742
2015년 10월 13일   19시,705178.2148
2015년 10월 13일   20시,686512.5977
2015년 10월 13일   21시,667042.6836
2015년 10월 13일   22시,651374.2813
2015년 10월 13일   23시,641304.9219
2015년 10월 14일   00시,597356.4922
2015년 10월 14일   01시,570682.1992
2015년 10월 14일   02시,557350.5234
2015년 10월 14일   03시,551242.4609
2015년 10월 14일   04시,556785.5469
2015년 10월 14일   05시,574988.2656
2015년 10월 14일   06시,601672.0078
2015년 10월 14일   07시,634403.4453
2015년 10월 14일   08시,673480.3945
2015년 10월 14일   09시,687971.8945
2015년 10월 14일   10시,685937.0938
2015년 10월 14일   11시,680881.5508
2015년 10월 14일   12시,635617.1211
2015년 10월 14일   13시,668271.0937
2015년 10월 14일   14시,686697.5664
2015년 10월 14일   15시,684778.0547
2015년 10월 14일   16시,696365.9219
2015년 10월 14일   17시,695588.8789
2015년 10월 14일   18시,707549.0391
2015년 10월 14일   19시,700840.1406
2015년 10월 14일   20시,684997.4961
2015년 10월 14일   21시,667759.1836
2015년 10월 14일   22시,655588.8359
2015년 10월 14일   23시,639016.5078
2015년 10월 15일   00시,594054.0273
2015년 10월 15일   01시,569782.0898
2015년 10월 15일   02시,556524.5156
2015년 10월 15일   03시,552108.3828
2015년 10월 15일   04시,556718.918
2015년 10월 15일   05시,573991.1758
2015년 10월 15일   06시,599534.0781
2015년 10월 15일   07시,635056.957
2015년 10월 15일   08시,676073.4727
2015년 10월 15일   09시,689939.9961
2015년 10월 15일   10시,686476.1914
2015년 10월 15일   11시,681204.9727
2015년 10월 15일   12시,635332.8164
2015년 10월 15일   13시,669502.582
2015년 10월 15일   14시,689203.6914
2015년 10월 15일   15시,690355.2422
2015년 10월 15일   16시,699837.9102
2015년 10월 15일   17시,700341.6641
2015년 10월 15일   18시,718705.25
2015년 10월 15일   19시,709714.2852
2015년 10월 15일   20시,691270.2695
2015년 10월 15일   21시,671812.5586
2015년 10월 15일   22시,656438.7773
2015년 10월 15일   23시,645810.0781
2015년 10월 16일   00시,600280.9063
2015년 10월 16일   01시,575535.2773
2015년 10월 16일   02시,560257.4375
2015년 10월 16일   03시,554503.1797
2015년 10월 16일   04시,558769.5742
2015년 10월 16일   05시,574466.4023
2015년 10월 16일   06시,601306.1719
2015년 10월 16일   07시,634760.5625
2015년 10월 16일   08시,678488.918
2015년 10월 16일   09시,693312.6055
2015년 10월 16일   10시,691029.9531
2015년 10월 16일   11시,685109.5859
2015년 10월 16일   12시,640807.7852
2015년 10월 16일   13시,674046.5391
2015년 10월 16일   14시,693337.8516
2015년 10월 16일   15시,693694.9219
2015년 10월 16일   16시,698844.4609
2015년 10월 16일   17시,697675.2773
2015년 10월 16일   18시,709978.6133
2015년 10월 16일   19시,699605.2422
2015년 10월 16일   20시,683417.7266
2015년 10월 16일   21시,665362.125
2015년 10월 16일   22시,652467.5859
2015년 10월 16일   23시,644121.5859
2015년 10월 17일   00시,600335.1836
2015년 10월 17일   01시,572838.4141
2015년 10월 17일   02시,559109.7305
2015년 10월 17일   03시,551837.3242
2015년 10월 17일   04시,550416.707
2015년 10월 17일   05시,563716.6836
2015년 10월 17일   06시,575961.0156
2015년 10월 17일   07시,584651.9062
2015년 10월 17일   08시,605283.9727
2015년 10월 17일   09시,614683.3008
2015년 10월 17일   10시,615915.6992
2015년 10월 17일   11시,610565.6602
2015년 10월 17일   12시,580137.6875
2015년 10월 17일   13시,599896.7109
2015년 10월 17일   14시,608905.8125
2015년 10월 17일   15시,605538.3867
2015년 10월 17일   16시,606121.0508
2015년 10월 17일   17시,598017.7539
2015년 10월 17일   18시,619508.918
2015년 10월 17일   19시,616142.4648
